Market Participant Name,Region,Market Trading Node,Facility Name,Type,Classification,"Max. Stable Load 
(Pmax, MW)","Min. Stable Load
(Pmin, MW)","Max. Ramp Rate (RR, MW/Min)"
Northwind Power Development Corporation,Luzon,01NWIND_G01,33.0MW Phases I and II Bangui Bay Wind Power Plant,Wind,Must dispatch,32.4,0.0,NA
Northwind Power Development Corporation,Luzon,01NWIND_G02,18.8 MW  Phase III Bangui Bay Wind Power Plant,Wind,Must dispatch,18.8,0.0,NA
Nuevo Solar Energy Corp.,Luzon,01CURSOL_G02,83.316 MWp Currimao 2 Solar Power Plant,Solar,Must dispatch,68.7,0.0,NA
One Subic Power Generation Corporation,Luzon,01S_ENRO_G01,120.000 MW Bunker-C Fired Thermal Power Plant (BCFDPP),Oil-Based,Scheduled,110.0,56.0,14.2
Pagbilao Energy Corporation,Luzon,03PAGBIL_G03,Pagbilao 3 Power Plant ,Coal,Scheduled,420.0,131.0,3.5
"Panasia Energy, Inc.",Luzon,01LIMAY_U01,Bataan Combined Cycle Power Plant Unit 1,Oil-Based,Scheduled,60,0,2.7
"Panasia Energy, Inc.",Luzon,01LIMAY_U02,Bataan Combined Cycle Power Plant Unit 2,Oil-Based,Scheduled,60,0,2.7
"Panasia Energy, Inc.",Luzon,01LIMAY_U03,Bataan Combined Cycle Power Plant Unit 3,Oil-Based,Scheduled,60,0,2.7
"Panasia Energy, Inc.",Luzon,01LIMAY_U04,Bataan Combined Cycle Power Plant Unit 4,Oil-Based,Scheduled,87,0,5.2
"Panasia Energy, Inc.",Luzon,01LIMAY_U05,Bataan Combined Cycle Power Plant Unit 5,Oil-Based,Scheduled,60,0,2.7
"Panasia Energy, Inc.",Luzon,01LIMAY_U06,Bataan Combined Cycle Power Plant Unit 6,Oil-Based,Scheduled,60,0,2.7
"Panasia Energy, Inc.",Luzon,01LIMAY_U07,Bataan Combined Cycle Power Plant Unit 7,Oil-Based,Scheduled,60,0,2.7
"Panasia Energy, Inc.",Luzon,01LIMAY_U08,Bataan Combined Cycle Power Plant Unit 8,Oil-Based,Scheduled,90,0,1.1
"Pangea Green Energy Philippines, Inc.",Luzon,02PNGEA_G01,PGEP Payatas Biogas Plant,Biomass,Priority Dispatch,1.3,0.3,0.6
People's Energy Services Inc.,Luzon,03BART_G01,Barit Hydro Electric Power Plant,Run-of River Hydro,Must dispatch,1.8,0.5,1.8
Petron Corporation,Luzon,01PETRON_G01,Refinery Solid Fuel-Fired Boiler Power Plant,Coal,Scheduled,140.0,3.5,0.7
PetroSolar Corporation,Luzon,01PETSOL_G01,50.069 MWp Tarlac-1 Solar Power Plant (TSPP-1),Solar,Must dispatch,44.4,0.0,NA
PetroSolar Corporation,Luzon,01PETSOL_G02,20.349 MWp Tarlac Solar Power Plant  (TSPP-2),Solar,Must dispatch,16.5,0.0,NA
Philippine Power and Development Company,Luzon,03PALAK_G01,Palakpakin Hydroelectric Power Plant,Run-of River Hydro,Must dispatch,1.5,0.2,0.5
Philippine Power and Development Company,Luzon,03BALUG_G01,Balugbog Hydroelectric Power Plant,Run-of River Hydro,Must dispatch,1.1,0.2,0.5
Philippine Power and Development Company,Luzon,03CLBATO_G01,Calibato Hydroelectric Power Plant,Run-of River Hydro,Must dispatch,0.3,0.0,0.1
"PH Renewables, Inc.",Luzon,02PNGYSOL_G01,95.827 MWp Pinugay Solar Power Plant,Solar,Must dispatch,71.6,0.0,NA
Prime Meridian PowerGen Corporation,Luzon,03AVION_U01,San Gabriel Avion Natural Gas-Fired Power Plant Unit 1,Natural Gas,Scheduled,47.2,3.0,12.0
Prime Meridian PowerGen Corporation,Luzon,03AVION_U02,San Gabriel Avion Natural Gas-Fired Power Plant Unit 2,Natural Gas,Scheduled,45.8,3.0,12.0
PSALM Corporation,Luzon,01CASECN_G01,Casecnan Hydro Electric Power Plant,Hydro,Scheduled,165.0,50.0,25.0
PSALM Corporation,Luzon,03BOTOCA_G01,Botocan Hydro Electric Power Plant,Hydro,Scheduled,20.8,0.8,3.5
PSALM Corporation,Luzon,03CALIRY_G01,Caliraya Hydro Electric Power Plant,Hydro,Scheduled,28.0,5.0,5.9
PSALM Corporation,Luzon,03KAL_G01,Kalayaan Hydro Electric Power Plant 1,Hydro,Scheduled,180.0,0.0,61.0
PSALM Corporation,Luzon,03KAL_G02,Kalayaan Hydro Electric Power Plant 2,Hydro,Scheduled,180.0,0.0,60.9
PSALM Corporation,Luzon,03KAL_G03,Kalayaan Hydro Electric Power Plant 3,Hydro,Scheduled,180.0,0.0,61.2
PSALM Corporation,Luzon,03KAL_G04,Kalayaan Hydro Electric Power Plant 4,Hydro,Scheduled,180.0,0.0,61.5
PSALM Corporation,Luzon,03MALAYA_G01,Malaya Oil Thermal Power Plant 1,Oil-Based,Scheduled,300.0,130.0,3.0
PV Sinag Power Inc.,Luzon,01CAYBSOL_G01,94.717 MWp Cayanga-Bugallon Solar Power Plant,Solar,Must dispatch,75.1,0.0,NA
Quezon Power (Philippines) Ltd. Co.,Luzon,03QPPL_G01,QPPL Coal-Fired Power Plant,Coal,Scheduled,460.0,180.0,3.0
RASLAG Corp.,Luzon,01RASLAG_G01,10.046 MWp Pampanga Solar Power Project Phase I ,Solar,Must dispatch,8.2,0.0,9.0
RASLAG Corp.,Luzon,01RASLAG_G02,13.141 MWp Pampanga Solar Power Project Phase II,Solar,Must dispatch,10.5,0.0,11.1
RASLAG Corp.,Luzon,01RASLAG_G03,18.011 MWp RASLAG III Solar PV Plant ,Solar,Must dispatch,13.4,0.0,NA
"Republic Cement & Building Materials, Inc.",Luzon,03RCBMI_G01,Batangas Diesel Power Plant Unit 1,Oil-Based,Scheduled,5.5,0.0,2.0
"Republic Cement & Building Materials, Inc.",Luzon,03RCBMI_G02,Batangas Diesel Power Plant Unit 2,Oil-Based,Scheduled,5.5,0.0,2.0
San Jose City I Power Corporation,Luzon,01IPOWER_G01,IPOWER Rice Husk Fired Power Plant,Biomass,Priority Dispatch,10.8,1.0,0.4
San Jose City I Power Corporation,Luzon,01IPOWER_G02,IPOWER Rice Husk Fired Power Plant Phase 2,Biomass,Priority Dispatch,10.8,1.0,0.5
San Buenaventura Power Ltd. Co.,Luzon,03SBPL_G01,SBPL Coal Fired Power Plant ,Coal,Scheduled,455.0,176.0,7.5
Sual Power Inc.,Luzon,01SUAL_G01,Sual Coal-Fired Power Plant 1,Coal,Scheduled,647.0,225.0,5.0
Sual Power Inc.,Luzon,01SUAL_G02,Sual Coal-Fired Power Plant 2,Coal,Scheduled,647.0,225.0,5.0
SEM-Calaca Power Corporation ,Luzon,03CALACA_G01,Batangas Coal-Fired Thermal  Power Plant 1,Coal,Scheduled,240.0,150.0,0.5
SEM-Calaca Power Corporation ,Luzon,03CALACA_G02,Calaca Coal-Fired Thermal  Power Plant 2,Coal,Scheduled,300.0,150.0,0.5
Limay Power Inc.,Luzon,01SMC_G01,SMC Limay Coal Power Plant 1,Coal,Scheduled,150.0,60.0,1.0
Limay Power Inc.,Luzon,01SMC_G02,SMC Limay Coal Power Plant 2,Coal,Scheduled,150.0,60.0,1.0
Limay Power Inc.,Luzon,01SMC_G03,SMC Limay Coal Power Plant 3,Coal,Scheduled,150.0,60.0,1.0
Limay Power Inc.,Luzon,01SMC_G04,SMC Limay Coal Power Plant 4,Coal,Scheduled,150.0,60.0,1.0
Smith Bell Mini-Hydro Corporation,Luzon,01SMBELL_G01,1.800 MW Commonal-Uddiawan Mini-Hydro Power Plant,Run-of River Hydro,Must dispatch,1.8,0.2,0.6
"SN Aboitiz Power - Benguet, Inc. ",Luzon,01BINGA_U01,Binga Hydroelectric Power Plant - Unit 1,Hydro,Scheduled,35.0,1.0,31.3
"SN Aboitiz Power - Benguet, Inc. ",Luzon,01BINGA_U02,Binga Hydroelectric Power Plant - Unit 2,Hydro,Scheduled,35.0,1.0,31.5
"SN Aboitiz Power - Benguet, Inc. ",Luzon,01BINGA_U03,Binga Hydroelectric Power Plant - Unit 3,Hydro,Scheduled,35.0,1.0,33.2
"SN Aboitiz Power - Benguet, Inc. ",Luzon,01BINGA_U04,Binga Hydroelectric Power Plant - Unit 4,Hydro,Scheduled,35.0,1.0,33.5
"SN Aboitiz Power - Benguet, Inc. ",Luzon,01AMBUK_U01,Ambuklao Hydroelectric Power Plant Unit 1,Hydro,Scheduled,37.5,4.8,20.0
"SN Aboitiz Power - Benguet, Inc. ",Luzon,01AMBUK_U02,Ambuklao Hydroelectric Power Plant Unit 2,Hydro,Scheduled,37.5,5.0,20.0
"SN Aboitiz Power - Benguet, Inc. ",Luzon,01AMBUK_U03,Ambuklao Hydroelectric Power Plant Unit 3,Hydro,Scheduled,37.5,4.8,20.0
"SN Aboitiz Power - Magat, Inc. ",Luzon,01MAGAT_U01,Magat Hydroelectric Power Plant Unit 1,Hydro,Scheduled,97.0,2.0,33.0
"SN Aboitiz Power - Magat, Inc. ",Luzon,01MAGAT_U02,Magat Hydroelectric Power Plant Unit 2,Hydro,Scheduled,97.0,2.0,33.0
"SN Aboitiz Power - Magat, Inc. ",Luzon,01MAGAT_U03,Magat Hydroelectric Power Plant Unit 3,Hydro,Scheduled,97.0,2.0,33.0
"SN Aboitiz Power - Magat, Inc. ",Luzon,01MAGAT_U04,Magat Hydroelectric Power Plant Unit 4,Hydro,Scheduled,97.0,2.0,33.0
"SN Aboitiz Power - Magat, Inc. ",Luzon,01MARIS_U01,Maris Canal HEPP Unit 1,Hydro,Non-scheduled ,4.3,0.2,0.3
"SN Aboitiz Power - Magat, Inc. ",Luzon,01MARIS_U02,Maris Canal HEPP Unit 2,Hydro,Non-scheduled ,4.3,0.2,0.3
"SN Aboitiz Power - Magat, Inc. ",Luzon,01MAGAT_BAT ,32.423 MW Magat Battery Energy Storage System  ,Battery,Battery Energy Storage System,24.0,0.0,1440.0
Solar Philippines Calatagan Corporation,Luzon,03CALSOL_G01,Calatagan Solar Farm ,Solar,Must dispatch,49.7,0.0,12.0
"Solar Philippines Commercial Rooftop Projects, Inc.",Luzon,02SMNRTH_G01,SM North EDSA Solar Power Project,Solar,Must dispatch,1.2,0.2,1.2
Solar Philippines Tarlac Corporation,Luzon,01CONSOL_G01,Concepcion 1 Solar Power Project,Solar,Must dispatch,76.0,0.0,NA
SOLARACE1 Energy Corp. ,Luzon,03SOLACE_G01,120.3 MW Alaminos Solar Power Plant ,Solar,Must dispatch,89.4,0.0,NA
South Luzon Thermal Energy Corporation,Luzon,03SLTEC_G01,South Luzon Thermal Energy Corporation Coal-Fired Thermal Power Plant Unit 1,Coal,Scheduled,122.0,48.0,1.4
South Luzon Thermal Energy Corporation,Luzon,03SLTEC_G02,South Luzon Thermal Energy Corporation Coal-Fired Thermal Power Plant Unit 2,Coal,Scheduled,124.0,48.0,2.2
South Premiere Power Corporation,Luzon,03ILIJAN_G01,Ilijan Natural Gas Combined-Cycle Power Plant 1,Natural Gas,Scheduled,600.0,420.0,20.0
South Premiere Power Corporation,Luzon,03ILIJAN_G02,Ilijan Natural Gas Combined-Cycle Power Plant 2,Natural Gas,Scheduled,600.0,420.0,20.0
Southwest Luzon Power Generation Corporation,Luzon,03SLPGC_G01,SLPGC Circulating Fluidized Bed (CFB) Coal-Fired Power Plant 1,Coal,Scheduled,150.0,44.6,1.4
Southwest Luzon Power Generation Corporation,Luzon,03SLPGC_G02,SLPGC Circulating Fluidized Bed (CFB) Coal-Fired Power Plant 2,Coal,Scheduled,149.6,45.3,1.4
SPARC-Solar Powered Agri-Rural Communities Corporation,Luzon,01ZAMSOL_G01,5.02 MWp DC Palauig Solar Power Plant,Solar,Must dispatch,4.8,0.0,NA
SPARC-Solar Powered Agri-Rural Communities Corporation,Luzon,01BTNSOL_G01,5.0 MWp DC Morong Solar Power Plant,Solar,Must dispatch,4.8,0.0,NA
SPARC-Solar Powered Agri-Rural Communities Corporation,Luzon,01SPABUL_G01,3.82 MWp DC San Rafael Solar Power Plant,Solar,Must dispatch,3.7,0.0,NA
San Roque Hydropower Inc. ,Luzon,01SROQUE_U01,San Roque Hydro Electric Power Plant Unit 1,Hydro,Scheduled,145.0,0.0,16.0
San Roque Hydropower Inc. ,Luzon,01SROQUE_U02,San Roque Hydro Electric Power Plant Unit 2,Hydro,Scheduled,145.0,0.0,16.0
San Roque Hydropower Inc. ,Luzon,01SROQUE_U03,San Roque Hydro Electric Power Plant Unit 3,Hydro,Scheduled,145.0,0.0,16.0
Terasu Energy Inc.,Luzon,01TERASU_G01,60.139 MWp Sta. Rosa Solar Power Plant,Solar,Must dispatch,40.1,0.0,NA
"Therma Luzon, Inc. ",Luzon,03PAGBIL_G01,Pagbilao Coal-Fired Power Plant 1,Coal,Scheduled,382.0,120.0,3.0
"Therma Luzon, Inc. ",Luzon,03PAGBIL_G02,Pagbilao Coal-Fired Power Plant 2,Coal,Scheduled,382.0,120.0,3.0
"Therma Mobile, Inc.",Luzon,02TMOBIL_G01,Navotas Bunker C-Fired Diesel Power Plant Power Barge 1 / Mobile 3,Oil-Based,Scheduled,63.8,0.0,19.8
"Therma Mobile, Inc.",Luzon,02TMOBIL_G02,Navotas Bunker C-Fired Diesel Power Plant Power Barge 2 / Mobile 4,Oil-Based,Scheduled,51.5,0.0,4.0
"Therma Mobile, Inc.",Luzon,02TMOBIL_G03,Navotas Bunker C-Fired Diesel Power Plant Power Barge 3 / Mobile 5,Oil-Based,Scheduled,55.2,0.0,21.6
"Therma Mobile, Inc.",Luzon,02TMOBIL_G04,Navotas Bunker C-Fired Diesel Power Plant Power Barge 4 / Mobile 6,Oil-Based,Scheduled,52.0,0.0,14.3
Tibag Hydropower Corporation,Luzon,03TIBAG_G01,5.808 MW Tibag Hydroelectric Power Plant ,Run-of River Hydro,Must dispatch,5.8,0.0,NA
Trustpower Corporation,Luzon,01TRUSTSOL_G01,20.888 MWp Trust Solar Power Plant,Solar,Must dispatch,15.4,0.0,NA
Bulacan Power Generation Corporation,Luzon,01T_ASIA_G01,54.62 MW PPGC Diesel Power Plant,Oil-Based,Scheduled,50.0,5.0,12.5
"United Pulp and Paper Company, Inc.",Luzon,01UPPC_G01,UPPC Cogeneration Power Plant,Coal,Scheduled,5.0,0.0,1.8
"Universal Power Solutions, Inc.",Luzon,01LAMAO_BAT,60.234 MW Lamao Battery Energy Storage System,Battery,Battery Energy Storage System,50.0,0.0,2642.6
"Universal Power Solutions, Inc.",Luzon,01LIMAY_BAT,50.519 MW Bataan Battery Energy Storage System ,Battery,Battery Energy Storage System,40.0,0.0,2642.4
"Universal Power Solutions, Inc.",Luzon,01SNMAN_BAT,57.168 MW San Manuel Battery Energy Storage System,Battery,Battery Energy Storage System,50.0,0.0,9642.8
"Universal Power Solutions, Inc.",Luzon,01MAGAPIT_BAT,(+/-) 40 MW Magapit Battery Energy Storage System ,Battery,Battery Energy Storage System,40.0,0.0,40000.0
"Universal Power Solutions, Inc.",Luzon,01CNCEP_BAT,(+/-) 60 MW Concepcion Battery Energy Storage System ,Battery,Battery Energy Storage System,60.0,0.0,60000.0
"Valenzuela Solar Energy, Inc.",Luzon,02VALSOL_G01,Valenzuela Solar Power Plant,Solar,Must dispatch,7.4,0.0,NA
Northern Renewables Generation Corporation,Luzon,01BAKUN_G01,Bakun Hydro Electric Power Plant,Run-of River Hydro,Must dispatch,74.0,0.4,10.0
VS Gripal Power Corporation,Luzon,01VSGRIP_G01,6 MW Biomass Power Plant,Biomass,Priority Dispatch,5.4,1.3,0.6
"YH Green Energy, Incorporated",Luzon,01YHGRN_G01,14.505 MWp Hermosa Solar Power Plant,Solar,Must dispatch,13.4,0.0,NA
Amlan Hydroelectric Power Corporation,Visayas,06AMLA_G01,Amlan Hydro Electric Power Plant,Hydro,Non-scheduled ,0.9,0.0,0.9
"BISCOM, Inc.",Visayas,06BISCOM_G01,BISCOM Biomass Power Plant,Biomass,Non-scheduled ,30.0,0.0,0.3
"Bohol I Electric Cooperative, Inc. - Janopol Mini Hydro Power Corporation",Visayas,07JANOPO_G01,Janopol Mini Hydro Power Plant,Hydro,Non-scheduled ,5.0,1.8,5.0
BOHECO I  Sevilla Mini Hydro Corp.,Visayas,07SEVILL_G01,BOHECO I  Sevilla Mini Hydro Power Plant,Hydro,Non-scheduled,2.5,0.8,NA
Cebu Energy Development Corporation,Visayas,05CEDC_U01,CEDC Coal-Fired Thermal Power Plant Unit 1,Coal,Scheduled,82.0,45.0,1.0
Cebu Energy Development Corporation,Visayas,05CEDC_U02,CEDC Coal-Fired Thermal Power Plant Unit 2,Coal,Scheduled,82.0,45.0,1.0
Cebu Energy Development Corporation,Visayas,05CEDC_U03,CEDC Coal-Fired Thermal Power Plant Unit 3,Coal,Scheduled,82.0,45.0,1.0
Cebu Private Power Corporation,Visayas,05CPPC_U01,CPPC Bunker C-Fired Diesel Power Plant Unit 1 ,Oil-Based,Scheduled,6.5,3.5,1.4
Cebu Private Power Corporation,Visayas,05CPPC_U02,CPPC Bunker C-Fired Diesel Power Plant Unit 2,Oil-Based,Scheduled,6.5,3.5,2.2
Cebu Private Power Corporation,Visayas,05CPPC_U03,CPPC Bunker C-Fired Diesel Power Plant Unit 3,Oil-Based,Scheduled,6.5,3.4,1.6
Cebu Private Power Corporation,Visayas,05CPPC_U04,CPPC Bunker C-Fired Diesel Power Plant Unit 4,Oil-Based,Scheduled,6.5,3.7,2.0
Cebu Private Power Corporation,Visayas,05CPPC_U05,CPPC Bunker C-Fired Diesel Power Plant Unit 5,Oil-Based,Scheduled,6.5,3.5,1.4
Cebu Private Power Corporation,Visayas,05CPPC_U06,CPPC Bunker C-Fired Diesel Power Plant Unit 6,Oil-Based,Scheduled,6.5,3.5,2.0
Cebu Private Power Corporation,Visayas,05CPPC_U07,CPPC Bunker C-Fired Diesel Power Plant Unit 7,Oil-Based,Scheduled,6.5,3.6,1.9
Cebu Private Power Corporation,Visayas,05CPPC_U08,CPPC Bunker C-Fired Diesel Power Plant Unit 8,Oil-Based,Scheduled,6.5,3.6,2.0
Cebu Private Power Corporation,Visayas,05CPPC_U09,CPPC Bunker C-Fired Diesel Power Plant Unit 9,Oil-Based,Scheduled,6.5,3.6,1.9
Cebu Private Power Corporation,Visayas,05CPPC_U10,CPPC Bunker C-Fired Diesel Power Plant Unit 10,Oil-Based,Scheduled,6.5,3.6,1.9
"Central Azucarera de Bais, Inc. ",Visayas,06CABI_G01,20.000 MW (Unit 1) Biomass Cogeneration Power Plant,Biomass,Priority Dispatch,12.0,0.0,0.4
Central Azucarera de San Antonio    ,Visayas,08CASA_G01,CASA Biomass Co-Generation Power Plant,Biomass,Non-scheduled,8.0,0.0,4.0
"Central Negros Power Reliability, Inc.",Visayas,06CENPRI_U02,Unit 2 Calumangan Bunker C-Fired Diesel Power Plant,Oil-Based,Scheduled,4.5,3.3,0.4
"Central Negros Power Reliability, Inc.",Visayas,06CENPRI_U01,Unit 1 Calumangan Bunker C-Fired Diesel Power Plant,Oil-Based,Scheduled,4.5,3.2,0.4
"Central Negros Power Reliability, Inc.",Visayas,06CENPRI_U03,Unit 3 Calumangan Bunker C-Fired Diesel Power Plant,Oil-Based,Scheduled,4.5,3.3,0.3
"Central Negros Power Reliability, Inc.",Visayas,06CENPRI_U04,Unit 4 Calumangan Bunker C-Fired Diesel Power Plant,Oil-Based,Scheduled,6.7,5.0,0.6
"Central Negros Power Reliability, Inc.",Visayas,06CENPRI_U05,Unit 5 Calumangan Diesel Power Plant,Oil-Based,Scheduled,6.7,4.9,0.5
"Cosmo Solar Energy, Inc.",Visayas,08COSMO_G01,Cosmo Solar Power Plant,Solar,Must dispatch,5.7,0.0,10.0
East Asia Utilities Corporation,Visayas,05EAUC_U01,EAUC Bunker C-Fired Power Plant Unit 1 ,Oil-Based,Scheduled,11.5,6.1,3.6
